idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
653,8.2,82.6,9.4,90.9,95.0,0.77,38.22,29.59,25.87,3.88,4.81,3.61,1.2,2.12,1.39,8.46,3.34,0.16,28.36,36.82
654,19.4,42.0,8.4,99.82,95.0,0.51,60.23,33.02,22.92,0.44,10.98,5.74,1.98,3.55,1.75,26.08,1.07,0.15,28.64,54.72
655,26.3,39.6,9.4,97.5,95.0,0.59,61.24,23.34,17.38,0.43,10.85,3.61,2.04,4.06,1.63,30.55,1.0,0.15,20.83,51.38
656,38.8,33.9,2.5,9.93,95.0,0.05,28.61,9.6,8.72,32.89,5.06,2.89,3.62,1.62,1.4,3.79,0.22,0.14,13.84,17.63
657,16.8,43.6,9.8,99.84,95.0,0.59,61.6,35.24,25.03,0.45,11.24,6.12,2.37,3.96,2.04,24.19,1.34,0.15,31.24,55.43
658,40.2,91.3,8.2,0.0,0.0,0.0,17.85,11.76,11.65,4.57,2.61,1.48,1.21,2.6,2.01,0,0.0,nan,0,0
659,42.4,5.4,5.2,0.12,99.0,0.0,57.14,9.48,9.48,0.42,3.35,2.17,2.37,1.99,1.76,0.36,0.06,0.13,7.09,7.45
660,47.9,93.4,2.6,6.14,99.0,0.1,8.91,5.82,6.49,3.83,2.01,1.88,1.1,1.43,1.45,0.7,0.74,0.15,4.3,5.0
661,21.1,63.3,3.7,92.2,95.0,0.35,34.73,23.73,18.48,5.13,4.83,4.11,1.13,1.42,1.26,11.06,1.02,0.16,21.71,32.76
662,26.5,6.9,4.4,0.0,0.0,0.0,56.35,56.29,56.2,0.47,0.38,37.66,2.49,2.12,0.0,0,0.0,nan,0,0
663,25.2,2.1,1.5,0.0,0.0,0.0,53.45,53.42,53.36,0.48,0.4,0.28,2.66,2.04,1.87,0,0.0,nan,0,0
664,48.5,77.7,9.4,0.0,0.0,0.0,15.06,11.88,12.12,4.72,1.36,1.18,0.98,2.01,1.78,0,0.0,nan,0,0
665,31.7,80.9,8.9,57.87,95.0,0.73,25.49,15.85,13.88,4.91,4.83,1.67,1.17,1.77,1.37,6.89,2.46,0.16,16.22,23.11
